Country,Year,Sex,Age,Population
Pakistan,2021,Male,35-39,6739
Indonesia,2018,Male,35-39,10542
Indonesia,2019,Male,35-39,10636
Indonesia,2020,Male,35-39,10675
Indonesia,2021,Male,35-39,10646
United States,2018,Male,35-39,11116
United States,2019,Male,35-39,11253
United States,2020,Male,35-39,11331
United States,2021,Male,35-39,11378
World,2022,Male,35-39,288851
China,2022,Male,35-39,56990
India,2022,Male,35-39,55316
Pakistan,2022,Male,35-39,6962
Indonesia,2022,Male,35-39,10581
United States,2022,Male,35-39,11443
World,2018,Female,35-39,260839
World,2019,Female,35-39,265714
World,2020,Female,35-39,270284
World,2021,Female,35-39,274851
China,2018,Female,35-39,48794
China,2019,Female,35-39,49657
China,2020,Female,35-39,50621
China,2021,Female,35-39,51885
India,2018,Female,35-39,47215
India,2019,Female,35-39,48329
India,2020,Female,35-39,49404
India,2021,Female,35-39,50437
Pakistan,2018,Female,35-39,6062
Pakistan,2019,Female,35-39,6294
Pakistan,2020,Female,35-39,6533
Pakistan,2021,Female,35-39,6776
Indonesia,2018,Female,35-39,10168
Indonesia,2019,Female,35-39,10236
Indonesia,2020,Female,35-39,10252
Indonesia,2021,Female,35-39,10207
United States,2018,Female,35-39,10945
United States,2019,Female,35-39,11045
United States,2020,Female,35-39,11100
United States,2021,Female,35-39,11136
World,2022,Female,35-39,279305
China,2022,Female,35-39,53252
India,2022,Female,35-39,51399
Pakistan,2022,Female,35-39,7021
Indonesia,2022,Female,35-39,10131
United States,2022,Female,35-39,11197
World,2018,Male,40-44,244768
World,2019,Male,40-44,245902
World,2020,Male,40-44,248930
World,2021,Male,40-44,253384
China,2018,Male,40-44,50738
China,2019,Male,40-44,48479
China,2020,Male,40-44,47617
China,2021,Male,40-44,47932
India,2018,Male,40-44,44930
India,2019,Male,40-44,45719
India,2020,Male,40-44,46636
India,2021,Male,40-44,47640
Pakistan,2018,Male,40-44,5049
Pakistan,2019,Male,40-44,5145
Pakistan,2020,Male,40-44,5267
Pakistan,2021,Male,40-44,5429
Indonesia,2018,Male,40-44,9671
Indonesia,2019,Male,40-44,9819
Indonesia,2020,Male,40-44,9967
Indonesia,2021,Male,40-44,10103
United States,2018,Male,40-44,10206
United States,2019,Male,40-44,10368
United States,2020,Male,40-44,10576
United States,2021,Male,40-44,10799
World,2022,Male,40-44,259073
China,2022,Male,40-44,49466
India,2022,Male,40-44,48682
Pakistan,2022,Male,40-44,5630
Indonesia,2022,Male,40-44,10236
United States,2022,Male,40-44,11002
World,2018,Female,40-44,239032
World,2019,Female,40-44,239994
World,2020,Female,40-44,242809
World,2021,Female,40-44,247021
China,2018,Female,40-44,48632
China,2019,Female,40-44,46384
China,2020,Female,40-44,45476
China,2021,Female,40-44,45693
India,2018,Female,40-44,42104
India,2019,Female,40-44,42804
India,2020,Female,40-44,43622
India,2021,Female,40-44,44529
Pakistan,2018,Female,40-44,4959
Pakistan,2019,Female,40-44,5091
Pakistan,2020,Female,40-44,5246
Pakistan,2021,Female,40-44,5435
Indonesia,2018,Female,40-44,9451
Indonesia,2019,Female,40-44,9578
Indonesia,2020,Female,40-44,9703
Indonesia,2021,Female,40-44,9815
United States,2018,Female,40-44,10185
United States,2019,Female,40-44,10328
United States,2020,Female,40-44,10516
United States,2021,Female,40-44,10720
World,2022,Female,40-44,252471
China,2022,Female,40-44,47065
India,2022,Female,40-44,45491
Pakistan,2022,Female,40-44,5660
Indonesia,2022,Female,40-44,9924
United States,2022,Female,40-44,10896
World,2018,Male,45-49,238749
World,2019,Male,45-49,240002
World,2020,Male,45-49,240138
World,2021,Male,45-49,239509
China,2018,Male,45-49,63029
China,2019,Male,45-49,61633
China,2020,Male,45-49,59213
China,2021,Male,45-49,56169
India,2018,Male,45-49,39414
India,2019,Male,45-49,40325
India,2020,Male,45-49,41236
India,2021,Male,45-49,42079
Pakistan,2018,Male,45-49,4317
Pakistan,2019,Male,45-49,4384
Pakistan,2020,Male,45-49,4468
Pakistan,2021,Male,45-49,4567
Indonesia,2018,Male,45-49,8756
Indonesia,2019,Male,45-49,8898
Indonesia,2020,Male,45-49,9029
Indonesia,2021,Male,45-49,9155
United States,2018,Male,45-49,10750
United States,2019,Male,45-49,10627
United States,2020,Male,45-49,10418
United States,2021,Male,45-49,10184
World,2022,Male,45-49,238984
China,2022,Male,45-49,53105
India,2022,Male,45-49,42844
Pakistan,2022,Male,45-49,4679
Indonesia,2022,Male,45-49,9279
United States,2022,Male,45-49,10096
World,2018,Female,45-49,236138
World,2019,Female,45-49,237194
